Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2012,Incremento20112012,Floresta2012,Nuvem2012,NaoObservado2012,NaoFloresta2012,Hidrografia2012,Soma 
 1,-3.25303,-45.97435,S 3 15 10.91,O 45 58 27.66,Zé Doca,2114007,MA,2438,2005.1,1.8,189.7,242.4,0.8,0.0,0.0,99
 2,-4.15502,-45.29588,S 4 9 18.07,O 45 17 45.17,Vitorino Freire,2113009,MA,1209,1166.3,0.0,0,0.0,0.0,43.3,0.0,100
 3,-3.54938,-44.93269,S 3 32 57.77,O 44 55 57.68,Vitória do Mearim,2112902,MA,736,240.5,0.4,19.4,1.0,0.3,464.9,9.9,100
 4,-5.03923,-48.09734,S 5 2 21.23,O 48 5 50.42,Vila Nova dos Martírios,2112852,MA,1196,969.1,2.4,83.6,0.9,1.4,131.8,9.2,100
 5,-3.13012,-45.18793,S 3 7 48.43,O 45 11 16.55,Viana,2112803,MA,1176,503.9,0.3,87.4,7.2,0.1,382.3,195.1,100
 6,-2.11952,-45.43842,S 2 7 10.27,O 45 26 18.31,Turilândia,2112456,MA,1529,1196.0,0.4,104.9,31.9,0.1,135.6,60.5,100
 7,-1.47124,-45.40039,S 1 28 16.46,O 45 24 1.40,Turiaçu,2112407,MA,2603,1932.2,0.0,365.6,190.4,0.1,48.0,66.7,99
 8,-5.60091,-44.82688,S 5 36 3.28,O 44 49 36.77,Tuntum,2112308,MA,3619,1211.8,10.6,428.7,0.0,1.0,1933.7,43.8,99
 9,-3.77013,-45.57549,S 3 46 12.47,O 45 34 31.76,Tufilândia,2112274,MA,274,249.0,0.0,0.0,0.0,0.0,25.0,0.0,100
 10,-4.53616,-44.66999,S 4 32 10.18,O 44 40 11.96,Trizidela do Vale,2112233,MA,225,153.7,0.0,0,72.0,0.0,0.0,0.0,100
 11,-8.30801,-45.88700,S 8 18 28.84,O 45 53 13.20,Tasso Fragoso,2112001,MA,4426,0.0,0.0,27.1,0.0,0.0,4398.9,0.0,100
 12,-6.50222,-44.32649,S 6 30 7.99,O 44 19 35.36,Sucupira do Norte,2111904,MA,1087,0.0,0.0,0,0.0,0.0,1087.8,0.0,100
 13,-6.27437,-46.55403,S 6 16 27.73,O 46 33 14.51,Sítio Novo,2111805,MA,3141,58.7,0.0,14.5,0.0,4.7,3063.1,0.0,100
 14,-1.88674,-45.04397,S 1 53 12.26,O 45 2 38.29,Serrano do Maranhão,2111789,MA,1221,1101.5,0.0,63.2,40.3,0.0,2.3,13.7,99
 15,-5.31274,-47.07804,S 5 18 45.86,O 47 4 40.94,Senador La Rocque,2111763,MA,1247,1153.8,2.4,93.1,0.0,0.1,0.0,0.0,100
 16,-3.93889,-45.26408,S 3 56 20.00,O 45 15 50.69,Satubinha,2111722,MA,447,356.2,0.0,0,0.0,0.0,86.7,4.4,100
 17,-2.87304,-44.93268,S 2 52 22.94,O 44 55 57.65,São Vicente Ferrer,2111706,MA,393,296.1,0.0,0,0.0,0.0,97.8,0.0,100
 18,-5.02229,-45.02380,S 5 1 20.24,O 45 1 25.68,São Roberto,2111672,MA,229,229.7,0.0,0,0.0,0.0,0.0,0.0,100
 19,-5.10345,-45.06812,S 5 6 12.42,O 45 4 5.23,São Raimundo do Doca Bezerra,2111631,MA,284,280.2,0.2,3.6,0.0,0.2,0.0,0.0,99
 20,-7.05201,-45.66837,S 7 3 7.24,O 45 40 6.13,São Raimundo das Mangabeiras,2111607,MA,3555,0.0,0.0,0,0.0,0.0,3555.6,0.0,100
 21,-6.85028,-46.80829,S 6 51 1.01,O 46 48 29.84,São Pedro dos Crentes,2111573,MA,987,0.0,0.0,0,0.0,0.0,988.0,0.0,100
 22,-5.13864,-48.34450,S 5 8 19.10,O 48 20 40.20,São Pedro da Água Branca,2111532,MA,725,454.1,0.0,38.7,1.1,0.9,208.0,22.2,99
 23,-3.98602,-44.50422,S 3 59 9.67,O 44 30 15.19,São Mateus do Maranhão,2111508,MA,793,461.0,0.0,0,217.4,0.1,106.9,9.0,100
 24,-4.37947,-44.64014,S 4 22 46.09,O 44 38 24.50,São Luís Gonzaga do Maranhão,2111409,MA,981,653.3,0.0,0,328.0,0.0,1.7,0.0,100
 25,-2.62711,-44.30617,S 2 37 37.60,O 44 18 22.21,São Luís,2111300,MA,839,370.9,0.3,159.4,17.2,0.4,0.0,291.1,100
 26,-5.01499,-44.55154,S 5 0 53.96,O 44 33 5.54,São José dos Basílios,2111250,MA,366,273.1,0.3,44.0,36.0,0.2,0.0,12.7,100
 27,-2.59520,-44.09279,S 2 35 42.72,O 44 5 34.04,São José de Ribamar,2111201,MA,390,100.7,0.6,79.7,1.7,35.7,0.0,172.2,100
 28,-6.43988,-46.90735,S 6 26 23.57,O 46 54 26.46,São João do Paraíso,2111052,MA,2070,256.1,1.3,18.2,0.0,0.9,1794.8,0.0,100
 29,-3.59710,-46.53744,S 3 35 49.56,O 46 32 14.78,São João do Carú,2111029,MA,620,411.1,0.4,95.0,113.7,0.2,0.0,0.0,100
 30,-3.01337,-44.77539,S 3 0 48.13,O 44 46 31.40,São João Batista,2111003,MA,700,148.6,0.0,57.3,0.0,0.1,358.8,135.2,100
 31,-5.16989,-47.32265,S 5 10 11.60,O 47 19 21.54,São Francisco do Brejão,2110856,MA,751,716.3,0.6,34.6,0.1,0.0,0.0,0.0,100
 32,-7.10735,-44.88571,S 7 6 26.46,O 44 53 8.56,São Félix de Balsas,2110807,MA,2057,0.0,0.0,12.5,0.0,0.0,2044.5,0.0,100
 33,-5.66656,-44.31635,S 5 39 59.62,O 44 18 58.86,São Domingos do Maranhão,2110708,MA,1168,816.2,19.8,258.7,0.1,0.7,92.3,0.0,100
 34,-6.84762,-44.59859,S 6 50 51.43,O 44 35 54.92,São Domingos do Azeitão,2110658,MA,974,0.0,0.0,0,0.0,0.0,974.2,0.0,100
 35,-2.78496,-44.93574,S 2 47 5.86,O 44 56 8.66,São Bento,2110500,MA,465,362.8,0.0,1.8,0.1,0.0,99.8,0.5,100
 36,-4.81280,-44.48090,S 4 48 46.08,O 44 28 51.24,Santo Antônio dos Lopes,2110302,MA,781,289.5,0.0,0,492.6,0.0,0.0,0.0,100
 37,-3.15407,-44.33057,S 3 9 14.65,O 44 19 50.05,Santa Rita,2110203,MA,718,246.8,2.2,280.4,0.2,0.2,168.6,21.8,100
 38,-2.52815,-45.77625,S 2 31 41.34,O 45 46 34.50,Santa Luzia do Paruá,2110039,MA,908,864.0,0.0,9.6,3.5,0.4,30.5,0.0,100
 39,-4.29175,-45.93682,S 4 17 30.30,O 45 56 12.55,Santa Luzia,2110005,MA,6245,5713.9,3.1,519.6,10.8,0.7,0.0,0.0,100
 40,-3.85236,-45.42994,S 3 51 8.50,O 45 25 47.78,Santa Inês,2109908,MA,778,766.3,0.0,0,0.0,0.0,8.6,3.5,100
 41,-2.46946,-45.53681,S 2 28 10.06,O 45 32 12.52,Santa Helena,2109809,MA,2335,1415.0,0.2,104.0,78.7,0.1,629.3,107.9,99
 42,-5.49785,-44.60715,S 5 29 52.26,O 44 36 25.74,Santa Filomena do Maranhão,2109759,MA,408,56.6,0.3,12.0,0.0,0.1,339.3,0.0,99
 43,-7.39798,-45.56971,S 7 23 52.73,O 45 34 10.96,Sambaíba,2109700,MA,2509,0.0,0.0,31.9,0.0,0.0,2477.1,0.0,100
 44,-2.95700,-44.20370,S 2 57 25.20,O 44 12 13.32,Rosário,2109601,MA,695,92.1,1.1,507.4,1.0,0.1,0.0,94.4,99
 45,-5.96305,-47.31957,S 5 57 46.98,O 47 19 10.45,Ribamar Fiquene,2109551,MA,755,436.0,0.5,58.7,0.0,0.1,244.7,15.5,99
 46,-7.74682,-46.62671,S 7 44 48.55,O 46 37 36.16,Riachão,2109502,MA,6422,0.0,0.0,0,0.0,0.0,6422.7,0.0,100
 47,-2.41702,-44.04998,S 2 25 1.27,O 44 2 59.93,Raposa,2109452,MA,64,14.6,0.1,40.9,0.0,0.1,0.7,7.7,100
 48,-2.59087,-45.34959,S 2 35 27.13,O 45 20 58.52,Presidente Sarney,2109270,MA,732,567.2,0.1,42.4,37.5,0.1,82.1,2.7,100
 49,-2.30799,-45.76410,S 2 18 28.76,O 45 45 50.76,Presidente Médici,2109239,MA,441,440.3,0.0,0.3,0.0,0.4,0.0,0.0,100
 50,-3.09801,-44.06306,S 3 5 52.84,O 44 3 47.02,Presidente Juscelino,2109205,MA,360,62.8,0.7,257.6,1.0,2.8,33.3,2.5,100
 51,-5.28901,-44.46201,S 5 17 20.44,O 44 27 43.24,Presidente Dutra,2109106,MA,805,729.9,3.5,74.6,0.0,0.3,0.1,0.1,100
 52,-1.83139,-44.61413,S 1 49 53.00,O 44 36 50.87,Porto Rico do Maranhão,2109056,MA,211,118.0,0.0,55.4,27.6,0.0,0.5,9.5,100
 53,-6.38380,-47.26834,S 6 23 1.68,O 47 16 6.02,Porto Franco,2109007,MA,1427,566.0,2.5,84.5,0.0,0.2,760.7,15.6,99
 54,-4.77098,-44.80380,S 4 46 15.53,O 44 48 13.68,Poção de Pedras,2108900,MA,663,589.8,0.0,0,74.0,0.0,0.2,0.0,100
 55,-3.77524,-44.16935,S 3 46 30.86,O 44 10 9.66,Pirapemas,2108801,MA,698,285.0,0.0,0.5,411.9,0.6,0.0,0.0,100
 56,-3.87120,-45.08068,S 3 52 16.32,O 45 4 50.45,Pio XII,2108702,MA,550,479.0,0.0,0,0.0,0.0,48.0,23.6,100
 57,-2.49468,-45.14562,S 2 29 40.85,O 45 8 44.23,Pinheiro,2108603,MA,1482,874.6,0.0,42.6,44.5,0.1,414.3,105.9,100
 58,-3.70490,-45.47687,S 3 42 17.64,O 45 28 36.73,Pindaré-Mirim,2108504,MA,275,202.4,0.0,0,0.0,0.1,52.8,20.0,100
 59,-4.41293,-44.28022,S 4 24 46.55,O 44 16 48.79,Peritoró,2108454,MA,836,253.4,0.0,60.0,522.6,0.0,0.0,0.0,100
