Cidades,total_2011,total_2012,total_2013,total_2014,total_2015,total_2016,total_2017,total_2018,total_2019,total_2020
Açailândia,4131,3625,7697,10287,14886,18621,26409,41521,54891,61287
Afonso Cunha,2323,2494,2511,2414,3101,4855,6375,6681,7301,7992
Água Doce do Maranhão,3626,2477,3939,3846,2725,2226,1850,1209,850,835
Alcântara,2030,2183,1943,1975,1724,1468,1365,1145,1156,963
Aldeias Altas,12372,13184,12998,12463,12099,9440,9745,8918,9086,9221
Altamira do Maranhão,2444,2470,2450,2493,2610,1895,2035,1480,1055,1041
Alto Alegre do Maranhão,3298,3420,3182,3267,3597,510,567,551,570,635
Alto Alegre do Pindaré,19041,12977,12696,9822,3909,3287,2940,2577,613,896
Alto Parnaíba,38203,43669,47376,63622,65161,60320,74551,79181,74745,72663
Amapá do Maranhão,1729,1587,1582,1705,1361,866,885,436,445,368
Amarante do Maranhão,3197,3229,3680,4112,4742,3901,3858,1981,2031,2306
Anajatuba,5317,5171,5250,3715,1742,1690,1655,1349,761,769
Anapurus,13332,14192,14581,14635,12308,11549,10842,10917,9976,10015
0,603,637,545,545,566,545,566,574,572,507
Araguanã,3788,3359,3292,2298,2172,1638,1440,1093,562,495
Araioses,12236,7895,12644,12698,9020,5295,4704,2123,1458,1397
Arame,19141,19445,17604,17080,13200,11226,11903,11840,3335,3585
Arari,4932,5120,4911,4818,4524,3492,3086,3089,3145,3379
Axixá,780,834,925,1090,679,674,598,534,447,402
Bacabal,9602,10318,8640,8727,9714,3452,3165,2310,2550,2620
Bacabeira,971,872,1077,1035,546,519,567,497,197,186
Bacuri,1007,1007,899,917,908,898,900,895,889,880
Bacurituba,427,429,433,440,437,412,398,378,379,377
Balsas,158321,194535,211687,255710,260731,240565,330073,333312,322428,324108
Barão de Grajaú,2315,2480,2558,2731,3041,2036,2601,1908,1382,916
Barra do Corda,22163,24178,27022,29372,10405,9777,10736,10922,4045,4675
Barreirinhas,10345,10294,12204,12263,8392,6715,4094,3000,2027,2080
Belágua,6100,5141,3325,3465,3162,2841,2140,1810,750,629
Bela Vista do Maranhão,1027,1041,1060,934,774,699,645,602,238,209
Benedito Leite,1636,1691,1678,1760,2930,2913,4042,3681,4985,4774
Bequimão,4520,4496,4466,4325,4068,3468,2630,2073,2056,1718
Bernardo do Mearim,1992,2099,2156,2231,1941,1706,1556,1103,540,440
Boa Vista do Gurupi,1250,1235,1250,1294,872,409,362,356,202,157
Bom Jardim,18293,16110,15200,10933,8651,13235,12719,15755,14817,13241
Bom Jesus das Selvas,18822,16790,15544,16572,10117,8885,8065,10551,9028,8902
Bom Lugar,4060,3990,3738,3760,3865,2390,1235,1460,1375,1349
Brejo,28665,29908,34330,31590,32215,29398,26492,27445,19005,18799
Brejo de Areia,8458,7429,6882,6370,6190,5370,1210,975,1007,969
Buriti,23945,25406,20193,20712,19275,17456,17091,16593,15850,16018
Buriti Bravo,5724,5994,4293,4967,5004,4480,5059,5779,7477,7148
Buriticupu,23240,22010,21513,23205,30803,16915,19298,34443,35401,36415
Buritirana,1428,809,954,924,341,276,266,260,302,491
Cachoeira Grande,1845,1734,2095,2404,2392,1951,1490,1265,623,443
Cajapió,1024,1042,943,949,851,841,514,815,578,530
Cajari,2022,2150,2121,2046,1905,1338,984,1169,899,1009
Campestre do Maranhão,6306,5532,6565,6877,6807,6464,6938,7929,7476,5929
Cândido Mendes,6858,5440,5233,5172,2624,2149,2060,1257,706,617
Cantanhede,7028,6903,6975,7098,6330,5679,5449,5174,1795,1791
Capinzal do Norte,4195,4204,4169,4202,2040,1702,1595,1392,1129,1107
Carolina,14725,36202,40802,49546,50457,41845,49185,45027,50345,46968
Carutapera,1915,3620,3620,3724,2887,2495,1945,1662,336,286
Caxias,17370,18933,16790,15390,12055,10225,10777,11704,12941,13618
Cedral,676,679,693,695,690,673,647,659,649,620
Central do Maranhão,1040,1036,943,930,875,839,682,568,554,515
