CodIbge,Municipio,AreaKm2,Desmatado2011,Desmatado2012,Desmatado2013,Desmatado2014,Desmatado2015,Desmatado2016,Desmatado2017,Desmatado2018,Desmatado2019,Desmatado2020
2114007,Zé Doca,2438,2003.3,2005.1,2009.9,2016.0,2016.8,2019.2,2019.9,2020.5,2021.6,2022.6
2113009,Vitorino Freire,1209,1166.3,1166.3,1166.3,1166.3,1166.3,1166.3,1166.3,1166.3,1166.3,1166.3
2112902,Vitória do Mearim,736,240.1,240.5,241.9,241.9,241.9,242.1,242.8,242.8,242.9,244.3
2112852,Vila Nova dos Martírios,1196,966.7,969.1,969.5,971.4,971.7,971.9,973.0,973.7,974.3,974.8
2112803,Viana,1176,503.7,503.9,505.8,506.0,506.0,506.1,506.4,506.4,506.7,506.9
2112456,Turilândia,1529,1195.6,1196.0,1196.4,1200.5,1200.5,1202.3,1203.7,1203.8,1203.9,1215.6
2112407,Turiaçu,2603,1932.2,1932.2,1933.1,1933.1,1934.7,1935.7,1938.1,1943.6,1950.0,1951.1
2112308,Tuntum,3619,1201.2,1211.8,1219.5,1227.9,1237.3,1245.3,1256.2,1261.5,1269.7,1274.1
2112274,Tufilândia,274,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0
2112233,Trizidela do Vale,225,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7,153.7
2112001,Tasso Fragoso,4426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2111904,Sucupira do Norte,1087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2111805,Sítio Novo,3141,58.7,58.7,58.8,58.9,59.1,59.1,59.1,59.1,59.3,59.3
2111789,Serrano do Maranhão,1221,1101.5,1101.5,1101.7,1101.8,1101.9,1101.9,1101.9,1102.0,1102.0,1102.0
2111763,Senador La Rocque,1247,1151.4,1153.8,1154.1,1156.0,1157.7,1160.0,1161.7,1162.0,1162.4,1162.9
2111722,Satubinha,447,356.2,356.2,356.2,356.2,356.2,356.2,356.2,356.2,356.2,356.2
2111706,São Vicente Ferrer,393,296.1,296.1,296.1,296.1,296.1,296.1,296.1,296.1,296.1,296.1
2111672,São Roberto,229,229.7,229.7,229.7,229.7,229.7,229.7,229.7,229.7,229.7,229.7
2111631,São Raimundo do Doca Bezerra,284,280.0,280.2,280.2,280.2,280.2,280.2,280.2,280.2,280.3,280.3
2111607,São Raimundo das Mangabeiras,3555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2111573,São Pedro dos Crentes,987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2111532,São Pedro da Água Branca,725,454.1,454.1,454.3,454.4,454.4,455.0,455.9,456.1,456.8,457.8
2111508,São Mateus do Maranhão,793,461.0,461.0,461.0,461.0,461.2,461.2,461.5,461.5,461.5,461.7
2111409,São Luís Gonzaga do Maranhão,981,653.3,653.3,653.3,653.3,653.3,653.4,653.8,653.8,653.8,653.9
2111300,São Luís,839,370.6,370.9,371.2,373.3,374.4,375.1,375.4,376.0,377.0,378.3
2111250,São José dos Basílios,366,272.8,273.1,273.4,275.0,276.5,276.8,277.6,277.9,278.3,278.4
2111201,São José de Ribamar,390,100.1,100.7,100.7,101.0,101.2,101.2,101.4,101.5,101.8,102.4
2111052,São João do Paraíso,2070,254.8,256.1,256.5,256.9,257.1,257.5,257.6,258.2,258.6,259.2
2111029,São João do Carú,620,410.7,411.1,413.3,413.6,413.6,413.7,414.0,414.0,414.0,414.9
2111003,São João Batista,700,148.6,148.6,148.6,148.6,148.6,148.6,148.6,148.6,148.6,148.6
2110856,São Francisco do Brejão,751,715.7,716.3,716.3,717.4,718.3,718.6,719.1,719.3,719.6,720.4
2110807,São Félix de Balsas,2057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2110708,São Domingos do Maranhão,1168,796.4,816.2,830.8,843.1,851.9,858.2,868.7,878.0,884.1,890.0
2110658,São Domingos do Azeitão,974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2110500,São Bento,465,362.8,362.8,362.8,362.8,362.8,362.8,362.8,362.8,362.8,362.9
2110302,Santo Antônio dos Lopes,781,289.5,289.5,289.5,289.5,290.2,291.4,292.1,292.2,293.3,293.4
2110203,Santa Rita,718,244.6,246.8,250.0,252.1,254.3,256.5,258.7,260.6,261.7,266.2
2110039,Santa Luzia do Paruá,908,864.0,864.0,864.0,864.2,864.2,864.2,864.4,864.4,864.4,865.4
2110005,Santa Luzia,6245,5710.8,5713.9,5714.9,5719.2,5720.8,5731.8,5738.3,5742.0,5752.3,5767.2
2109908,Santa Inês,778,766.3,766.3,766.3,766.3,766.3,766.3,766.3,766.3,766.3,766.3
2109809,Santa Helena,2335,1414.8,1415.0,1417.2,1419.0,1419.1,1419.9,1422.0,1422.2,1422.9,1435.5
2109759,Santa Filomena do Maranhão,408,56.3,56.6,56.8,56.9,57.0,57.1,57.1,57.4,57.7,57.7
2109700,Sambaíba,2509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2109601,Rosário,695,91.0,92.1,94.7,95.9,96.9,96.9,97.3,98.5,98.7,100.7
2109551,Ribamar Fiquene,755,435.5,436.0,436.3,436.5,436.6,443.0,444.2,444.7,445.1,445.8
2109502,Riachão,6422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2109452,Raposa,64,14.5,14.6,14.7,14.8,14.8,14.8,14.8,14.8,14.8,14.8
2109270,Presidente Sarney,732,567.1,567.2,567.8,568.0,568.0,568.3,570.3,570.5,570.8,575.8
2109239,Presidente Médici,441,440.3,440.3,440.3,440.3,440.3,440.3,440.3,440.3,440.3,440.3
2109205,Presidente Juscelino,360,62.0,62.8,65.1,65.7,66.1,67.1,68.5,68.9,69.2,69.7
2109106,Presidente Dutra,805,726.4,729.9,731.7,732.9,735.2,736.9,737.8,738.4,739.7,741.2
2109056,Porto Rico do Maranhão,211,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0
2109007,Porto Franco,1427,563.6,566.0,566.8,568.3,570.3,572.3,573.8,574.7,575.8,576.1
2108900,Poção de Pedras,663,589.8,589.8,589.8,589.8,589.8,589.8,589.8,589.8,589.8,589.8
2108801,Pirapemas,698,285.0,285.0,285.0,285.4,286.0,286.1,286.6,286.9,288.4,289.4
2108702,Pio XII,550,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0
2108603,Pinheiro,1482,874.6,874.6,875.7,876.5,876.8,876.9,878.8,878.8,879.8,883.9
