Cidades;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Açailândia ;114;222.0;116.0;180.0;199.0;141.0;178.0;125.0;48.0;129
Afonso Cunha ;32;64.0;32.0;47.0;108.0;49.0;83.0;48.0;65.0;32
Água Doce do Maranhão ;34;36.0;56.0;22.0;29.0;27.0;62.0;55.0;9.0;32
Alcântara ;17;37.0;30.0;16.0;15.0;27.0;27.0;7.0;8.0;12
Aldeias Altas ;60;268.0;35.0;49.0;305.0;209.0;104.0;48.0;27.0;129
Altamira do Maranhão ;8;13.0;9.0;19.0;16.0;12.0;12.0;13.0;10.0;13
Alto Alegre do Maranhão ;26;41.0;10.0;30.0;28.0;30.0;52.0;12.0;15.0;32
Alto Alegre do Pindaré ;114;122.0;67.0;123.0;144.0;70.0;80.0;42.0;92.0;73
Alto Parnaíba ;970;1234.0;688.0;1006.0;944.0;914.0;684.0;473.0;773.0;961
Amapá do Maranhão ;49;78.0;21.0;42.0;66.0;40.0;64.0;;7.0;27
Amarante do Maranhão ;209;1053.0;203.0;404.0;1015.0;562.0;868.0;76.0;102.0;287
Anajatuba ;30;34.0;30.0;26.0;32.0;37.0;30.0;27.0;18.0;31
Anapurus ;43;85.0;61.0;65.0;68.0;68.0;50.0;37.0;50.0;44
Apicum-Açu ;12;19.0;16.0;13.0;6.0;10.0;8.0;9.0;4.0;20
Araguanã ;34;24.0;36.0;41.0;46.0;16.0;52.0;4.0;14.0;35
Araioses ;110;167.0;208.0;137.0;191.0;177.0;141.0;86.0;38.0;119
Arame ;149;538.0;242.0;460.0;418.0;372.0;417.0;102.0;67.0;60
Arari ;30;72.0;39.0;49.0;68.0;53.0;56.0;35.0;5.0;43
Axixá ;3;13.0;8.0;4.0;8.0;5.0;6.0;1.0;1.0;4
Bacabal ;65;83.0;60.0;58.0;56.0;63.0;78.0;36.0;16.0;87
Bacabeira ;11;25.0;12.0;13.0;20.0;22.0;22.0;25.0;10.0;12
Bacuri ;25;19.0;28.0;35.0;28.0;25.0;23.0;17.0;18.0;12
Bacurituba ;11;4.0;7.0;15.0;7.0;5.0;3.0;3.0;4.0;11
Balsas ;993;1442.0;674.0;1060.0;1005.0;840.0;840.0;649.0;779.0;737
Barão de Grajaú ;69;157.0;44.0;108.0;140.0;61.0;64.0;152.0;139.0;62
Barra do Corda ;254;1152.0;330.0;609.0;889.0;604.0;1074.0;417.0;517.0;266
Barreirinhas ;150;172.0;190.0;171.0;152.0;236.0;214.0;182.0;199.0;207
Bela Vista do Maranhão ;9;9.0;3.0;10.0;17.0;12.0;2.0;6.0;1.0;9
Belágua ;59;49.0;45.0;38.0;46.0;34.0;54.0;26.0;44.0;50
Benedito Leite ;190;195.0;153.0;210.0;185.0;97.0;219.0;214.0;121.0;104
Bequimão ;10;11.0;13.0;11.0;13.0;24.0;16.0;10.0;;15
Bernardo do Mearim ;2;7.0;2.0;8.0;15.0;7.0;16.0;6.0;12.0;3
Boa Vista do Gurupi ;22;38.0;28.0;32.0;40.0;31.0;34.0;9.0;25.0;18
Bom Jardim ;273;331.0;239.0;317.0;494.0;221.0;317.0;136.0;25.0;209
Bom Jesus das Selvas ;96;190.0;131.0;230.0;263.0;158.0;234.0;113.0;29.0;108
Bom Lugar ;6;6.0;6.0;10.0;19.0;14.0;2.0;4.0;1.0;8
Brejo ;50;95.0;57.0;53.0;53.0;51.0;55.0;37.0;48.0;62
Brejo de Areia ;103;114.0;107.0;128.0;82.0;113.0;79.0;56.0;8.0;62
Buriti ;121;216.0;116.0;96.0;126.0;115.0;72.0;74.0;37.0;71
Buriti Bravo ;139;563.0;243.0;278.0;373.0;344.0;425.0;180.0;147.0;162
Buriticupu ;223;270.0;162.0;311.0;367.0;252.0;230.0;125.0;128.0;107
Buritirana ;34;40.0;22.0;28.0;45.0;28.0;23.0;16.0;1.0;11
Cachoeira Grande ;56;40.0;64.0;52.0;33.0;30.0;62.0;30.0;24.0;20
Cajapió ;4;10.0;6.0;5.0;13.0;6.0;4.0;;;-
Cajari ;21;37.0;23.0;29.0;38.0;36.0;30.0;12.0;;15
Campestre do Maranhão ;14;22.0;13.0;14.0;14.0;29.0;18.0;15.0;13.0;6
Cândido Mendes ;97;105.0;97.0;75.0;122.0;82.0;110.0;37.0;32.0;90
Cantanhede ;90;65.0;74.0;55.0;59.0;51.0;54.0;45.0;11.0;64
Capinzal do Norte ;40;38.0;38.0;27.0;27.0;22.0;27.0;23.0;3.0;17
Carolina ;375;600.0;277.0;426.0;525.0;360.0;404.0;256.0;334.0;386
Carutapera ;28;64.0;50.0;57.0;50.0;44.0;51.0;17.0;9.0;45
Caxias ;158;563.0;105.0;242.0;530.0;701.0;253.0;122.0;104.0;220
Cedral ;8;5.0;7.0;4.0;2.0;13.0;9.0;1.0;6.0;16
Central do Maranhão ;8;13.0;7.0;5.0;3.0;13.0;2.0;11.0;5.0;2
Centro do Guilherme ;76;77.0;64.0;54.0;98.0;61.0;78.0;24.0;31.0;42
Centro Novo do Maranhão ;297;314.0;213.0;230.0;436.0;139.0;189.0;71.0;16.0;99
Chapadinha ;185;302.0;153.0;167.0;303.0;233.0;158.0;99.0;70.0;94
Cidelândia ;32;39.0;24.0;64.0;60.0;38.0;53.0;12.0;12.0;31
Codó ;176;288.0;141.0;174.0;251.0;268.0;251.0;143.0;148.0;149
Coelho Neto ;54;126.0;37.0;48.0;136.0;129.0;79.0;28.0;36.0;53
Colinas ;329;656.0;415.0;457.0;500.0;336.0;457.0;267.0;129.0;235
Conceição do Lago-Açu ;27;42.0;36.0;37.0;55.0;51.0;42.0;12.0;2.0;43
Coroatá ;286;219.0;192.0;223.0;195.0;174.0;228.0;123.0;151.0;154
Cururupu ;19;24.0;37.0;26.0;27.0;23.0;50.0;17.0;37.0;44
Davinópolis ;8;6.0;2.0;15.0;19.0;6.0;5.0;2.0;1.0;6
Dom Pedro ;15;25.0;16.0;16.0;37.0;7.0;13.0;9.0;1.0;12
Duque Bacelar ;25;18.0;5.0;35.0;16.0;23.0;16.0;21.0;1.0;10
Esperantinópolis ;23;29.0;26.0;143.0;16.0;27.0;25.0;15.0;26.0;13
Estreito ;87;145.0;122.0;59.0;120.0;82.0;80.0;93.0;37.0;80
Feira Nova do Maranhão ;85;59.0;30.0;610.0;47.0;40.0;45.0;42.0;11.0;53
Fernando Falcão ;577;930.0;481.0;180.0;798.0;466.0;850.0;454.0;629.0;602
Formosa da Serra Negra ;278;361.0;259.0;113.0;212.0;166.0;133.0;115.0;140.0;142
Fortaleza dos Nogueiras ;118;207.0;90.0;117.0;164.0;79.0;90.0;62.0;16.0;43
Fortuna ;39;159.0;18.0;19.0;81.0;126.0;77.0;49.0;39.0;37
Godofredo Viana ;23;10.0;28.0;20.0;26.0;16.0;17.0;5.0;4.0;14
Gonçalves Dias ;27;62.0;28.0;14.0;44.0;55.0;31.0;26.0;2.0;9
Governador Archer ;14;39.0;13.0;15.0;37.0;24.0;7.0;11.0;14.0;2
