Cidades,mandioca_2011,mandioca_2012,mandioca_2013,mandioca_2014,mandioca_2015,mandioca_2016,mandioca_2017,mandioca_2018,mandioca_2019
Açailândia,50,60,93,60,53,40,42,64,53
Afonso Cunha,126,113,100,90,80,75,70,50,40
Água Doce do Maranhão,1260,1980,1900,1500,1017,626,475,318,330
Alcântara,1400,1200,1300,1250,1031,985,740,743,588
Aldeias Altas,340,306,245,200,190,180,170,160,155
Altamira do Maranhão,360,370,378,423,430,420,420,380,365
Alto Alegre do Maranhão,250,220,260,285,40,50,50,50,58
Alto Alegre do Pindaré,3000,3000,1400,1120,892,733,542,139,131
Alto Parnaíba,196,205,231,231,234,210,210,250,220
Amapá do Maranhão,680,690,740,860,270,293,215,180,145
Amarante do Maranhão,39,50,50,56,63,75,75,72,65
Anajatuba,2265,2287,2412,860,860,800,487,360,362
Anapurus,1632,900,900,1600,1394,1100,657,426,340
0,525,430,430,450,435,453,467,465,400
Araguanã,1050,1050,410,410,450,435,273,126,118
Araioses,3150,3900,3980,4100,1830,1324,1124,955,920
Arame,2000,2000,2000,2250,1092,1045,750,750,770
Arari,264,271,269,279,262,270,300,290,272
Axixá,434,486,584,394,391,405,385,390,350
Bacabal,1800,1600,1600,1850,1312,825,300,310,325
Bacabeira,317,409,455,245,232,290,300,120,116
Bacuri,525,425,425,430,430,433,438,436,426
Bacurituba,313,318,318,325,325,321,314,316,316
Balsas,309,298,360,360,365,340,340,315,312
Barão de Grajaú,110,100,100,80,80,60,40,42,37
Barra do Corda,840,2100,2520,130,135,550,600,150,140
Barreirinhas,5635,6739,6564,4630,3022,2054,1520,1295,1360
Belágua,2900,1500,1500,1200,1300,1100,640,300,280
Bela Vista do Maranhão,245,245,118,118,120,116,130,26,23
Benedito Leite,50,40,40,40,35,30,30,15,20
Bequimão,1800,1753,1753,1841,1496,1112,927,923,830
Bernardo do Mearim,127,150,200,175,170,140,140,30,32
Boa Vista do Gurupi,580,600,650,670,90,80,92,80,60
Bom Jardim,3450,3450,1400,1400,1189,982,604,181,169
Bom Jesus das Selvas,1850,1850,1748,175,160,157,160,30,33
Bom Lugar,390,300,300,310,310,50,60,70,67
Brejo,1588,1000,1000,1350,1170,750,595,480,490
Brejo de Areia,380,250,250,270,280,45,55,60,54
Buriti,1800,1000,1500,1500,1328,950,593,420,430
Buriti Bravo,324,176,170,150,130,100,60,70,67
Buriticupu,2800,2800,1600,1120,974,718,445,130,125
Buritirana,65,75,60,60,60,60,40,42,58
Cachoeira Grande,1588,1912,2200,2200,1783,1294,1130,533,354
Cajapió,822,721,743,649,590,460,502,460,420
Cajari,795,783,783,705,649,500,600,590,560
Campestre do Maranhão,25,40,30,35,25,22,20,29,15
Cândido Mendes,1410,1410,1450,1690,1057,965,490,472,340
Cantanhede,1711,1711,1839,1840,1387,934,645,346,348
Capinzal do Norte,38,40,48,51,45,40,40,42,44
Carolina,309,325,364,364,369,352,352,355,350
Carutapera,2700,2700,2800,2181,1760,1210,989,220,144
Caxias,530,424,340,310,300,285,280,270,260
Cedral,476,476,475,480,480,476,490,493,470
Central do Maranhão,390,395,395,400,400,403,387,384,376
Centro do Guilherme,1189,1200,1280,1472,1165,890,670,530,352
Centro Novo do Maranhão,1150,1180,1250,1440,1159,884,576,334,285
Chapadinha,3480,1500,2000,2000,1440,1110,750,670,680
Cidelândia,15,20,19,25,26,20,20,29,23
Codó,4933,3780,3024,2730,1968,1480,1100,810,750
Coelho Neto,320,272,220,190,170,160,150,110,88
Colinas,200,210,210,280,30,32,35,31,29
0,360,250,250,310,310,76,80,84,80
Coroatá,546,437,350,320,300,280,270,330,310
Cururupu,550,536,535,508,508,492,420,415,389
Davinópolis,20,18,15,22,19,15,13,14,18
Dom Pedro,85,54,35,40,44,70,95,89,97
Duque Bacelar,253,202,170,170,150,140,130,66,50
Esperantinópolis,55,61,72,75,56,51,51,59,52
Estreito,60,55,45,35,42,30,25,43,38
Feira Nova do Maranhão,309,295,333,333,369,355,355,352,350
Fernando Falcão,1080,1080,1050,980,1010,800,110,120,130
Formosa da Serra Negra,300,300,300,180,205,205,205,130,140
Fortaleza dos Nogueiras,330,330,364,364,407,407,70,75,70
Fortuna,700,735,805,130,130,150,157,134,108
Godofredo Viana,700,720,800,920,509,590,398,190,130
Gonçalves Dias,119,80,115,125,30,39,35,38,47
Governador Archer,95,85,110,110,40,46,50,53,49
Governador Edison Lobão,9,8,14,10,27,20,18,15,17
Governador Eugênio Barros,175,119,119,120,84,91,95,98,79
Governador Luiz Rocha,175,132,99,150,120,70,65,65,58
Governador Newton Bello,1860,1860,770,770,700,653,476,74,81
Governador Nunes Freire,1100,1120,1210,1230,1089,926,859,831,534
Graça Aranha,380,126,185,150,165,140,145,152,149
Grajaú,400,465,1850,340,480,450,360,270,275
Guimarães,600,615,615,620,620,623,515,518,495
Humberto de Campos,1594,2072,2143,238,240,380,465,680,537
Icatu,2048,2574,2860,2988,1981,1440,1085,840,681
Igarapé do Meio,345,345,195,195,200,197,190,65,59
Igarapé Grande,78,79,88,90,87,66,66,69,66
Imperatriz,12,10,8,10,9,12,13,16,10
Itaipava do Grajaú,140,140,84,63,66,66,20,58,67
Itapecuru Mirim,4772,4818,4818,5080,2336,1457,1210,908,911
Itinga do Maranhão,40,48,59,35,51,35,38,40,46
Jatobá,56,50,800,400,240,223,228,138,125
Jenipapo dos Vieiras,220,220,231,300,231,111,111,115,120
João Lisboa,15,18,16,74,67,40,40,38,32
Joselândia,98,91,96,54,52,37,37,46,44
Junco do Maranhão,290,300,320,380,400,313,300,153,130
Lago da Pedra,400,750,750,1020,600,590,700,475,480
Lago do Junco,305,308,321,195,110,94,94,96,94
Lago Verde,280,150,150,160,160,45,50,56,50
Lagoa do Mato,50,60,50,60,50,80,60,49,30
Lago dos Rodrigues,301,333,348,194,195,155,155,120,95
Lagoa Grande do Maranhão,400,350,350,340,15,15,15,20,17
Lajeado Novo,35,30,20,20,21,18,16,14,30
Lima Campos,27,46,45,48,46,39,39,52,54
Loreto,237,243,274,274,278,255,255,110,98
Luís Domingues,390,400,430,490,465,420,324,175,138
Magalhães de Almeida,2520,2500,2700,1000,975,659,418,285,380
Maracaçumé,1100,1120,1220,1360,1142,980,620,420,300
Marajá do Sena,350,320,320,300,60,20,25,25,23
Maranhãozinho,1810,1835,2220,2460,1717,1054,718,353,285
Mata Roma,1500,800,1000,1300,1400,1100,723,297,180
Matinha,1447,1374,1016,1305,1187,810,972,635,617
Matões,375,350,495,495,515,480,430,600,560
Matões do Norte,737,759,785,790,730,750,540,160,162
Milagres do Maranhão,1450,650,850,1000,900,450,335,250,270
Mirador,779,755,650,250,275,289,274,142,140
Miranda do Norte,196,208,211,215,235,238,245,128,132
Mirinzal,800,795,793,795,620,708,584,580,545
Monção,2450,2450,1000,1000,800,776,592,307,295
Montes Altos,20,19,8,15,10,9,7,42,77
Morros,1570,1930,2085,2316,1647,1268,940,750,707
Nina Rodrigues,1437,1511,2991,2993,2152,1416,936,187,191
Nova Colinas,196,190,214,274,279,330,300,200,180
Nova Iorque,45,45,45,30,30,25,25,11,14
Nova Olinda do Maranhão,1810,1835,2010,2510,625,585,470,405,409
Olho d'Água das Cunhãs,370,350,350,390,390,250,130,110,105
Olinda Nova do Maranhão,1299,1187,1305,1161,1056,363,454,420,380
