Cidades,milho_2011,milho_2012,milho_2013,milho_2014,milho_2015,milho_2016,milho_2017,milho_2018,milho_2019
Açailândia,2175,3944,3688,3996,2078,5140,5068,6831,7737
Afonso Cunha,456,384,340,310,290,280,275,170,880
Água Doce do Maranhão,720,1049,1100,750,780,800,615,490,470
Alcântara,160,130,132,137,130,120,130,133,113
Aldeias Altas,1644,1480,1250,1120,1010,980,890,790,800
Altamira do Maranhão,800,810,820,860,600,500,360,300,340
Alto Alegre do Maranhão,1180,1062,1060,1272,220,240,200,230,235
Alto Alegre do Pindaré,3510,3159,2538,1598,1278,1147,1050,112,93
Alto Parnaíba,9083,13498,16642,13801,10791,18374,15545,15285,15073
Amapá do Maranhão,255,270,290,305,302,307,65,89,70
Amarante do Maranhão,1716,1973,2170,2496,2156,2049,1145,1203,1430
Anajatuba,1072,1082,485,360,355,370,375,270,272
Anapurus,2900,1650,1700,1400,1520,1460,1500,1200,1320
0,82,84,86,84,80,84,81,82,83
Araguanã,700,665,550,522,445,397,348,141,119
Araioses,1960,2715,2700,2400,1500,1550,354,180,170
Arame,8620,7758,8378,8505,8000,8800,9000,1500,1650
Arari,576,600,582,552,382,350,150,135,340
Axixá,220,264,304,150,151,153,115,25,27
Bacabal,2150,2220,2025,2475,800,1200,720,1000,1110
Bacabeira,300,390,351,175,176,170,120,35,32
Bacuri,420,422,430,425,418,415,417,415,416
Bacurituba,40,41,43,44,35,34,32,29,31
Balsas,42768,57237,70169,57783,44308,102442,81067,86440,107670
Barão de Grajaú,554,610,680,1150,620,820,734,572,386
Barra do Corda,7552,8055,8458,2556,2352,2470,2520,2000,2335
Barreirinhas,1750,2275,2502,1520,1485,1400,840,150,142
Belágua,700,500,560,600,420,280,400,208,160
Bela Vista do Maranhão,142,145,155,148,119,131,115,44,39
Benedito Leite,275,300,350,400,395,450,420,578,185
Bequimão,1228,1225,1164,1129,931,937,843,838,671
Bernardo do Mearim,831,855,858,600,505,475,477,114,117
Boa Vista do Gurupi,275,280,285,120,90,82,161,32,26
Bom Jardim,6000,5276,4250,3890,3696,4000,6000,1360,1224
Bom Jesus das Selvas,7000,6498,7278,6550,5695,4784,5800,5085,4918
Bom Lugar,1130,1120,1100,1210,850,450,500,530,600
Brejo,4500,3610,2550,1360,1150,1050,550,1400,1330
Brejo de Areia,2560,2432,2100,2215,2200,200,340,350,385
Buriti,3200,2340,2100,1480,920,990,600,1100,1115
Buriti Bravo,2059,1750,1660,1607,1300,1600,1600,2100,1750
Buriticupu,14400,13680,16000,20000,3560,3100,3251,4100,4185
Buritirana,420,600,590,130,104,120,122,120,268
Cachoeira Grande,95,123,142,130,118,134,100,50,55
Cajapió,116,117,111,109,105,21,280,94,90
Cajari,566,572,520,499,320,200,250,137,250
Campestre do Maranhão,282,288,297,290,700,1100,1421,2170,613
Cândido Mendes,1220,1150,1155,580,522,522,288,174,203
Cantanhede,1652,1660,1662,1665,1580,1670,1675,504,505
Capinzal do Norte,1629,1631,1639,902,716,665,667,440,442
Carolina,5690,10306,12970,10243,2106,19923,15300,22425,19450
Carutapera,335,350,360,378,370,370,308,60,75
Caxias,4579,4120,3910,1210,900,820,780,2020,2050
Cedral,90,92,95,93,90,95,98,95,105
Central do Maranhão,93,95,86,91,90,82,66,63,64
Centro do Guilherme,795,820,890,902,895,895,224,405,340
Centro Novo do Maranhão,1250,1310,1340,1230,1250,1250,1235,235,240
Chapadinha,3900,2500,2580,2000,1080,750,850,240,950
Cidelândia,428,486,467,420,252,409,331,133,679
Codó,4382,3725,3270,2360,1792,2213,1532,2650,2600
Coelho Neto,1032,930,830,750,700,650,612,490,480
Colinas,5280,5200,4850,5130,4360,4500,4580,3155,3235
0,360,378,370,407,330,80,90,100,120
Coroatá,4020,3216,2890,2210,1990,1790,1615,1372,1380
Cururupu,47,49,52,54,61,52,60,55,59
Davinópolis,528,538,560,310,202,310,200,318,260
Dom Pedro,518,525,575,1170,1240,1488,1500,1348,1412
Duque Bacelar,792,673,650,590,560,540,486,185,180
Esperantinópolis,1005,1038,1044,895,755,692,693,695,683
Estreito,1751,1804,1769,1633,1225,1150,976,1280,1346
Feira Nova do Maranhão,1090,1104,1160,1170,1326,1460,1628,2230,940
Fernando Falcão,1050,924,1300,1400,880,1012,3158,2790,2860
Formosa da Serra Negra,900,940,1175,2060,2260,2486,940,1000,1200
Fortaleza dos Nogueiras,986,1704,2384,2466,2500,2900,4515,4634,7540
Fortuna,4841,4500,5120,1700,1600,1840,1800,1610,4250
Godofredo Viana,98,108,110,120,126,126,128,48,63
Gonçalves Dias,2130,2343,5120,2400,640,768,1000,1075,1071
Governador Archer,1097,1260,1300,1300,300,321,331,310,249
Governador Edison Lobão,231,240,216,182,124,120,73,216,210
Governador Eugênio Barros,2740,2562,2300,2400,1920,2304,2350,2015,1615
Governador Luiz Rocha,1200,1260,1450,1500,1620,2000,2250,1842,1738
Governador Newton Bello,700,700,570,550,400,338,281,125,103
Governador Nunes Freire,500,520,525,530,480,480,471,295,283
Graça Aranha,1080,960,864,720,742,700,710,650,710
Grajaú,6247,5000,4500,5000,6500,7000,8000,8145,8150
Guimarães,263,265,267,269,257,180,176,172,180
Humberto de Campos,790,987,1140,115,79,90,95,65,68
Icatu,240,405,426,130,128,122,130,21,20
Igarapé do Meio,285,280,263,258,168,198,165,56,49
Igarapé Grande,1244,1246,1350,980,780,722,724,305,308
Imperatriz,274,290,305,290,175,96,100,95,52
Itaipava do Grajaú,4200,2520,2698,1232,862,948,600,420,400
Itapecuru Mirim,4225,4232,4230,3005,1100,1120,1122,720,722
Itinga do Maranhão,1800,3263,2494,2369,1677,2792,4148,2147,2998
Jatobá,2048,1740,2100,1700,1870,2000,2050,1795,1150
Jenipapo dos Vieiras,980,833,958,1005,1200,1320,600,800,640
João Lisboa,323,340,357,250,188,310,279,200,251
Joselândia,2919,2921,2935,320,300,272,273,275,278
Junco do Maranhão,200,218,205,210,190,190,135,148,131
Lago da Pedra,2950,2770,2500,2750,1850,2500,2420,2000,2040
Lago do Junco,676,691,701,705,572,535,535,537,539
Lago Verde,1000,990,980,1030,1050,121,180,185,200
Lagoa do Mato,2353,2353,2300,2376,1994,2302,2300,708,547
Lago dos Rodrigues,1116,1119,1125,620,491,484,485,487,489
Lagoa Grande do Maranhão,2700,2565,2310,2425,600,700,640,700,806
Lajeado Novo,415,332,348,348,278,205,215,203,150
Lima Campos,435,437,448,552,445,415,417,419,421
Loreto,6377,9931,12170,10055,7776,9186,8237,9108,13900
Luís Domingues,98,107,110,120,136,136,125,22,37
Magalhães de Almeida,1100,2090,2130,850,700,725,740,725,640
Maracaçumé,285,310,300,280,280,280,252,182,130
Marajá do Sena,2300,2200,2000,2100,1000,1200,1100,1100,1200
Maranhãozinho,490,530,540,545,540,540,162,153,138
Mata Roma,2000,1100,1150,1200,1550,930,1100,1350,1130
Matinha,1347,1252,1048,953,600,270,350,245,270
Matões,2175,2300,1957,1077,1000,1540,1600,1500,1350
Matões do Norte,1582,1585,1580,1585,1480,1590,1592,392,393
Milagres do Maranhão,2100,1380,1400,1080,300,300,300,420,300
Mirador,2166,2274,2500,3000,3180,3498,3510,3250,4063
Miranda do Norte,290,295,296,500,505,520,522,96,95
Mirinzal,290,288,300,290,285,320,323,320,340
Monção,1700,1660,1330,785,785,757,667,391,313
Montes Altos,309,293,310,285,185,205,212,206,220
Morros,200,260,270,140,138,120,125,125,115
Nina Rodrigues,910,915,918,920,930,945,948,120,122
Nova Colinas,416,1923,2394,1935,1413,1690,1420,1025,1800
Nova Iorque,390,450,505,560,350,650,420,637,1087
Nova Olinda do Maranhão,1120,1175,1220,1280,1024,1024,1005,234,187
