Cidades,soja_2011,soja_2012,soja_2013,soja_2014,soja_2015,soja_2016,soja_2017,soja_2018,soja_2019
Açailândia,230,2604,5493,10389,16278,21000,36127,47680,53179
Afonso Cunha,1250,1450,1470,2230,4020,5600,6000,6800,6795
Água Doce do Maranhão,0,0,0,0,0,0,0,0,0
Alcântara,0,0,0,0,0,0,0,0,0
Aldeias Altas,0,0,0,0,0,0,0,0,0
Altamira do Maranhão,0,0,0,0,0,0,0,0,0
Alto Alegre do Maranhão,0,0,0,0,0,0,0,0,0
Alto Alegre do Pindaré,0,0,0,0,0,0,0,0,350
Alto Parnaíba,29851,28925,41948,45354,44901,46697,51945,53510,54035
Amapá do Maranhão,0,0,0,0,0,0,0,0,0
Amarante do Maranhão,0,0,0,0,0,0,0,0,0
Anajatuba,0,0,0,0,0,0,0,0,0
Anapurus,5000,8370,8170,6800,6800,7200,7230,7500,7695
0,0,0,0,0,0,0,0,0,0
Araguanã,0,0,0,0,0,0,0,0,0
Araioses,0,0,0,0,0,0,0,0,0
Arame,0,0,0,0,0,0,0,0,0
Arari,0,0,0,0,0,0,0,0,0
Axixá,0,0,0,0,0,0,0,0,0
Bacabal,0,0,0,0,0,0,0,0,0
Bacabeira,0,0,0,0,0,0,0,0,0
Bacuri,0,0,0,0,0,0,0,0,0
Bacurituba,0,0,0,0,0,0,0,0,0
Balsas,136381,137345,168274,181764,180116,187144,209081,214912,195161
Barão de Grajaú,0,0,0,0,0,0,0,0,0
Barra do Corda,0,0,0,0,0,0,0,250,260
Barreirinhas,0,0,0,0,0,0,0,0,0
Belágua,0,0,0,0,0,0,0,0,0
Bela Vista do Maranhão,0,0,0,0,0,0,0,0,0
Benedito Leite,240,250,200,1040,1620,2590,2800,3752,3080
Bequimão,0,0,0,0,0,0,0,0,0
Bernardo do Mearim,0,0,0,0,0,0,0,0,0
Boa Vista do Gurupi,0,0,0,0,0,0,0,0,0
Bom Jardim,0,0,0,0,5150,4680,6200,12050,10845
Bom Jesus das Selvas,0,0,0,145,1150,1500,3000,3520,3611
Bom Lugar,0,0,0,0,0,0,0,0,0
Brejo,16000,23840,24240,26775,25500,23600,25100,16100,16000
Brejo de Areia,0,0,0,0,0,0,0,0,0
Buriti,15000,11027,12357,13500,13500,14000,14120,13200,13450
Buriti Bravo,0,0,0,800,1000,1500,2100,3380,3450
Buriticupu,0,330,500,6400,10210,13400,28800,30000,31080
Buritirana,0,0,0,0,0,0,0,0,0
Cachoeira Grande,0,0,0,0,0,0,0,0,0
Cajapió,0,0,0,0,0,0,0,0,0
Cajari,0,0,0,0,0,0,0,0,0
Campestre do Maranhão,0,0,0,0,0,0,0,0,400
Cândido Mendes,0,0,0,0,0,0,0,0,0
Cantanhede,0,0,0,0,0,0,0,0,0
Capinzal do Norte,0,0,0,0,0,0,0,0,0
Carolina,29370,29548,35600,38490,38106,25000,25000,26515,26500
Carutapera,0,0,0,0,0,0,0,0,0
Caxias,1850,1800,1980,2300,2300,3250,4015,4200,4833
Cedral,0,0,0,0,0,0,0,0,0
Central do Maranhão,0,0,0,0,0,0,0,0,0
Centro do Guilherme,0,0,0,0,0,0,0,0,0
Centro Novo do Maranhão,0,0,0,0,0,0,0,0,0
Chapadinha,4000,2393,2140,3700,3700,3800,3850,4300,4330
Cidelândia,0,0,80,75,82,82,80,5063,6825
Codó,0,0,0,0,0,0,0,0,0
Coelho Neto,0,0,0,0,0,0,0,0,0
Colinas,150,200,560,2000,2300,2620,2700,4300,3565
0,0,0,0,0,0,0,0,0,0
Coroatá,0,0,0,0,0,0,0,0,0
Cururupu,0,0,0,0,0,0,0,0,0
Davinópolis,0,0,72,0,0,0,30,0,0
Dom Pedro,0,0,0,0,0,0,0,0,0
Duque Bacelar,0,0,0,0,0,0,0,0,0
Esperantinópolis,0,0,0,0,0,0,0,0,0
Estreito,158,300,400,350,180,62,150,125,700
Feira Nova do Maranhão,0,0,0,0,0,300,300,1015,500
Fernando Falcão,0,0,0,0,0,0,5324,5900,6500
Formosa da Serra Negra,1361,1225,0,0,0,0,0,0,0
Fortaleza dos Nogueiras,24542,18896,11756,12344,12000,11500,11450,13610,9496
Fortuna,0,0,0,0,0,0,0,500,505
Godofredo Viana,0,0,0,0,0,0,0,0,0
Gonçalves Dias,0,0,0,0,0,0,0,0,0
Governador Archer,0,0,0,0,0,0,0,0,0
Governador Edison Lobão,0,0,0,60,120,0,120,0,0
Governador Eugênio Barros,0,250,250,300,400,790,790,727,2448
Governador Luiz Rocha,0,0,0,250,220,400,460,1690,1695
Governador Newton Bello,0,0,0,0,0,0,0,0,0
Governador Nunes Freire,0,0,0,0,0,0,0,0,0
Graça Aranha,0,0,0,0,0,0,0,0,0
Grajaú,5500,5000,7500,11000,11500,12000,12500,13348,13445
Guimarães,0,0,0,0,0,0,0,0,0
Humberto de Campos,0,0,0,0,0,0,0,0,0
Icatu,0,0,0,0,0,0,0,0,0
Igarapé do Meio,0,0,0,0,0,0,0,0,0
Igarapé Grande,0,0,0,0,0,0,0,0,0
Imperatriz,0,0,0,0,0,0,0,0,0
Itaipava do Grajaú,0,0,0,0,0,0,0,0,0
Itapecuru Mirim,0,0,0,0,0,0,0,0,0
