Cidades,Arroz_2011,Arroz_2012,Arroz_2013,Arroz_2014,Arroz_2015,Arroz_2016,Arroz_2017,Arroz_2018,Arroz_2019,Arroz_2020
Açailândia,1100,850,799,736,200,80,78,83,98,99
Afonso Cunha,608,570,480,430,390,380,340,260,220,210
Água Doce do Maranhão,0,0,0,0,0,0,0,0,0,0
Alcântara,459,450,430,348,197,177,160,165,163,161
Aldeias Altas,2525,2348,1996,1790,1610,1450,1300,1030,980,970
Altamira do Maranhão,880,890,845,845,887,500,500,350,200,130
Alto Alegre do Maranhão,1450,1500,1425,1450,1550,200,220,240,220,250
Alto Alegre do Pindaré,7840,5906,6007,5385,726,711,685,618,169,146
Alto Parnaíba,2038,1350,1093,1062,1009,666,250,1650,1490,1453
Amapá do Maranhão,424,400,380,370,95,92,77,70,103,90
Amarante do Maranhão,1125,1227,1374,1580,1817,1423,1450,580,581,615
Anajatuba,1537,1568,1607,582,460,420,440,435,116,120
Anapurus,3710,3800,3000,3150,1800,1200,600,800,350,300
0,10,11,14,10,13,11,10,5,4,5
Araguanã,1500,1300,1275,1050,945,519,417,296,165,132
Araioses,3100,1190,3264,3200,300,250,200,96,25,22
Arame,8400,8190,7371,6266,2020,1813,1722,1750,850,870
Arari,3834,4020,3807,3757,3519,2690,2211,2300,2545,2600
Axixá,149,155,145,170,105,103,10,9,12,8
Bacabal,4300,4380,2750,2890,2950,520,600,910,820,738
Bacabeira,143,150,162,158,85,52,52,20,8,6
Bacuri,22,23,14,21,16,16,18,8,7,8
Bacurituba,34,35,37,39,30,18,13,6,5,4
Balsas,4932,3265,2450,1960,1862,1228,660,2060,1860,1720
Barão de Grajaú,1450,1530,1550,1600,1490,1050,1430,830,458,229
Barra do Corda,12030,13233,14236,15659,4934,4687,4921,4980,1000,1200
Barreirinhas,2250,2200,2530,2530,1820,1812,290,280,287,296
Belágua,850,950,800,850,750,600,350,400,50,47
Bela Vista do Maranhão,337,180,227,227,210,200,217,178,55,51
Benedito Leite,790,830,850,860,1150,620,750,200,420,820
Bequimão,1025,1020,1023,972,707,691,345,101,98,85
Bernardo do Mearim,833,883,885,898,886,750,662,211,123,126
Boa Vista do Gurupi,200,185,170,160,20,25,15,12,25,21
Bom Jardim,6237,6000,5810,4630,2711,2576,2396,2300,655,518
Bom Jesus das Selvas,8512,7500,6750,7087,3190,1810,1539,1500,311,268
Bom Lugar,1985,1900,1748,1800,1790,900,450,550,460,400
Brejo,6740,6800,4900,2800,1700,800,650,700,780,750
Brejo de Areia,3620,3600,3310,3100,2790,2000,800,400,420,350
Buriti,4480,4500,4980,3850,1850,1100,700,750,780,720
Buriti Bravo,2714,2942,1648,2389,1885,1600,1344,1400,1200,1090
Buriticupu,4000,3700,3635,4000,1600,987,936,889,631,555
Buritirana,560,200,140,137,28,18,10,12,25,42
Cachoeira Grande,25,28,32,32,32,24,32,7,9,8
Cajapió,95,97,100,91,89,81,10,10,9,8
Cajari,637,749,727,707,672,344,250,280,150,180
Campestre do Maranhão,90,30,25,27,18,13,29,14,21,23
Cândido Mendes,2350,2300,2170,2060,129,120,120,113,36,41
Cantanhede,2125,2168,2222,2220,1800,1725,1805,1800,664,662
Capinzal do Norte,2248,2249,2206,2211,775,630,595,395,384,386
Carolina,636,489,396,360,342,225,490,490,441,430
Carutapera,280,275,270,260,120,115,115,105,30,37
Caxias,8142,7307,6210,5590,4020,3240,2920,2240,2128,2150
Cedral,25,26,27,29,24,20,10,8,6,5
Central do Maranhão,294,295,297,287,231,215,108,40,37,34
Centro do Guilherme,1176,1150,1100,1050,374,370,370,337,332,211
Centro Novo do Maranhão,1900,1850,1720,1680,208,203,203,205,145,157
Chapadinha,5730,5800,4500,4700,2500,1800,990,1000,420,1250
Cidelândia,569,498,453,386,100,30,19,12,10,17
Codó,6730,6260,5321,4680,3368,2593,2333,2100,3050,3020
Coelho Neto,1586,1475,1327,1190,1070,980,880,840,690,670
Colinas,6400,5980,5364,5400,2500,3100,2635,2700,610,575
0,938,940,910,900,855,625,75,100,120,110
Coroatá,6242,5743,4594,4130,2768,2490,2480,2232,2120,2100
Cururupu,13,12,14,21,18,11,9,6,4,5
Davinópolis,416,387,270,190,34,16,27,18,20,22
Dom Pedro,1000,900,807,725,150,148,178,187,160,175
Duque Bacelar,1310,1218,1035,930,840,800,750,675,220,215
Esperantinópolis,1652,1611,1646,1654,945,810,741,612,596,598
Estreito,1750,800,720,698,220,90,100,105,115,110
Feira Nova do Maranhão,2066,1368,1108,986,976,644,242,320,355,330
Fernando Falcão,1480,1395,1116,1482,1008,800,840,385,390,400
Formosa da Serra Negra,4820,4580,5038,4030,1934,1588,1747,1040,1100,1150
Fortaleza dos Nogueiras,1497,1500,1650,1320,1368,1300,1430,615,814,820
Fortuna,4000,3800,3420,4000,660,660,799,870,735,690
Godofredo Viana,161,145,140,145,40,44,44,45,11,12
Gonçalves Dias,3290,2632,2764,2900,3000,200,220,270,255,249
