Cidades,CanaDeAcucar_2011,CanaDeAcucar_2012,CanaDeAcucar_2013,CanaDeAcucar_2014,CanaDeAcucar_2015,CanaDeAcucar_2016,CanaDeAcucar_2017,CanaDeAcucar_2018,CanaDeAcucar_2019,CanaDeAcucar_2020
Açailândia,0,0,0,0,0,0,0,0,0,0
Afonso Cunha,14,14,14,14,15,15,13,13,5,4
Água Doce do Maranhão,2,2,3,4,5,4,4,4,2,0
Alcântara,0,0,0,0,0,0,0,0,0,0
Aldeias Altas,7257,8461,8884,8880,8900,6541,7182,6730,7066,7200
Altamira do Maranhão,0,0,0,0,0,0,0,0,0,0
Alto Alegre do Maranhão,0,0,0,0,0,0,0,0,0,0
Alto Alegre do Pindaré,10,20,0,0,0,0,0,0,0,0
Alto Parnaíba,0,0,0,0,0,0,0,0,0,0
Amapá do Maranhão,0,0,0,0,0,0,0,0,0,0
Amarante do Maranhão,1,3,3,5,6,6,6,6,5,6
Anajatuba,0,0,0,0,0,0,0,0,0,0
Anapurus,92,95,95,100,110,150,152,180,145,79
0,0,0,0,0,0,0,0,0,0,0
Araguanã,0,0,0,0,0,0,0,0,0,0
Araioses,0,0,0,0,0,0,0,0,0,0
Arame,0,0,0,0,0,0,0,0,0,0
Arari,0,0,0,0,0,0,0,0,0,0
Axixá,0,0,0,0,0,0,0,0,0,0
Bacabal,0,0,0,0,0,0,0,0,0,0
Bacabeira,80,55,60,12,5,9,10,10,4,4
Bacuri,0,0,0,0,0,0,0,0,0,0
Bacurituba,0,0,0,0,0,0,0,0,0,0
Balsas,18,14,10,16,16,16,16,16,16,15
Barão de Grajaú,20,20,20,20,20,20,20,20,21,18
Barra do Corda,16,35,36,36,38,38,35,35,28,26
Barreirinhas,0,0,0,0,0,0,0,0,0,0
Belágua,12,12,13,10,12,8,10,8,6,5
Bela Vista do Maranhão,0,0,0,0,0,0,0,0,0,0
Benedito Leite,0,0,0,0,0,0,3,3,2,3
Bequimão,0,0,0,0,0,0,0,0,0,0
Bernardo do Mearim,0,0,0,0,0,0,0,0,0,0
Boa Vista do Gurupi,0,0,0,0,0,0,0,0,0,0
Bom Jardim,0,0,0,0,0,0,0,0,0,0
Bom Jesus das Selvas,0,0,0,0,0,0,0,0,0,0
Bom Lugar,0,0,0,0,0,0,0,0,0,0
Brejo,90,95,100,100,105,110,112,120,65,60
Brejo de Areia,0,0,0,0,0,0,0,0,0,0
Buriti,110,110,110,115,120,90,91,100,10,8
Buriti Bravo,69,69,69,170,15,10,28,26,30,35
Buriticupu,0,0,0,0,0,0,0,0,0,0
Buritirana,0,0,0,0,0,0,0,0,0,0
Cachoeira Grande,0,0,0,0,0,0,0,0,0,0
Cajapió,0,0,0,0,0,0,0,0,0,0
Cajari,0,0,0,0,0,0,0,0,0,0
Campestre do Maranhão,5855,5140,6129,6450,6399,5672,5759,6436,5225,4856
Cândido Mendes,0,0,0,0,0,0,0,0,0,0
Cantanhede,0,0,0,0,0,0,0,0,0,0
Capinzal do Norte,64,66,67,69,71,73,71,73,63,39
Carolina,0,0,0,0,0,0,0,0,0,0
Carutapera,0,0,0,0,0,0,0,0,0,0
Caxias,2005,2146,2170,1950,2871,2425,2512,3451,3623,3630
Cedral,0,0,0,0,0,0,0,0,0,0
Central do Maranhão,70,80,0,0,0,0,0,0,0,0
Centro do Guilherme,0,0,0,0,0,0,0,0,0,0
Centro Novo do Maranhão,0,0,0,0,0,0,0,0,0,0
Chapadinha,93,98,100,100,105,50,45,50,12,9
Cidelândia,0,0,0,0,0,0,0,0,0,0
Codó,1320,1258,1320,1320,1320,1320,1209,1100,1150,1160
Coelho Neto,5783,6193,6360,5690,5690,5390,5540,6173,4968,4900
Colinas,80,60,62,60,30,27,23,25,9,8
0,0,0,0,0,0,0,0,0,0,0
Coroatá,7,7,10,10,10,10,10,10,5,4
Cururupu,0,0,0,0,0,0,0,0,0,0
Davinópolis,0,0,0,0,0,0,0,0,0,0
Dom Pedro,5,15,14,10,15,8,6,5,5,6
Duque Bacelar,515,516,516,420,420,420,447,480,517,515
Esperantinópolis,29,26,27,29,30,32,31,33,27,9
Estreito,0,0,0,0,0,0,0,0,0,0
Feira Nova do Maranhão,0,0,0,0,0,0,0,0,35,16
Fernando Falcão,50,55,55,85,5,5,5,5,4,4
Formosa da Serra Negra,2,4,4,10,15,15,15,5,5,6
Fortaleza dos Nogueiras,10,12,12,24,16,16,16,1,1,0
Fortuna,30,14,15,15,0,0,0,0,0,0
Godofredo Viana,0,0,0,0,0,0,0,0,0,0
Gonçalves Dias,12,8,9,9,3,2,8,18,18,15
Governador Archer,7,4,5,5,6,3,3,2,2,3
Governador Edison Lobão,0,0,0,0,0,0,0,0,0,0
Governador Eugênio Barros,0,0,0,0,0,0,0,0,0,0
Governador Luiz Rocha,0,0,0,0,0,0,0,0,0,0
Governador Newton Bello,0,0,0,0,0,0,0,0,0,0
Governador Nunes Freire,0,0,0,0,0,0,0,0,0,0
Graça Aranha,0,0,0,0,0,0,0,0,0,0
Grajaú,0,0,0,0,0,0,0,3,4,4
Guimarães,54,50,50,45,40,40,41,42,40,43
Humberto de Campos,0,0,0,0,0,0,0,0,0,0
Icatu,0,0,0,0,0,0,0,0,0,0
Igarapé do Meio,0,0,0,0,0,0,0,0,0,0
Igarapé Grande,0,0,0,0,0,0,0,0,0,0
Imperatriz,1,0,0,0,0,0,0,0,0,0
Itaipava do Grajaú,10,8,8,16,12,11,11,11,9,11
Itapecuru Mirim,10,28,28,25,22,22,23,21,16,13
Itinga do Maranhão,0,0,0,0,0,0,0,0,0,0
Jatobá,0,0,0,0,0,0,0,0,0,0
Jenipapo dos Vieiras,14,25,25,50,5,6,5,5,4,4
João Lisboa,0,0,0,0,0,0,0,0,0,0
Joselândia,0,0,0,0,0,0,0,0,0,0
Junco do Maranhão,0,0,0,0,0,0,0,0,0,0
Lago da Pedra,0,0,0,0,0,0,0,0,0,0
Lago do Junco,53,37,20,22,24,26,24,25,18,3
Lago Verde,0,0,0,0,0,0,0,0,0,0
Lagoa do Mato,10,10,10,8,5,2,5,5,4,5
Lago dos Rodrigues,167,172,185,188,189,191,189,191,77,28
Lagoa Grande do Maranhão,0,0,0,0,0,0,0,0,0,0
Lajeado Novo,0,0,0,0,0,0,0,0,0,0
Lima Campos,16,14,0,0,0,0,0,0,0,0
Loreto,2,2,1,3,3,3,3,3,15,14
Luís Domingues,0,0,0,0,0,0,0,0,0,0
Magalhães de Almeida,0,0,0,0,0,0,0,0,0,0
Maracaçumé,0,0,0,0,0,0,0,0,0,0
Marajá do Sena,0,0,0,0,0,0,0,0,0,0
Maranhãozinho,20,0,5,5,7,5,5,4,5,4
Mata Roma,85,90,95,95,100,90,91,86,62,58
Matinha,0,0,0,0,0,0,0,0,0,0
Matões,50,50,40,60,14,14,8,7,3,4
Matões do Norte,0,0,0,0,0,0,0,0,0,0
Milagres do Maranhão,122,130,133,135,140,90,91,88,86,30
Mirador,275,205,205,205,200,160,163,160,148,195
Miranda do Norte,0,0,0,0,0,0,0,0,0,0
Mirinzal,80,75,30,35,38,38,47,49,47,43
Monção,5,5,5,3,3,0,0,0,0,0
Montes Altos,390,316,444,507,588,549,0,0,0,0
Morros,0,0,0,0,0,0,0,0,0,0
Nina Rodrigues,0,0,0,0,0,0,0,0,0,0
Nova Colinas,7,7,6,6,6,6,6,6,6,5
Nova Iorque,0,0,0,0,0,0,0,0,0,0
Nova Olinda do Maranhão,0,8,8,1,2,0,1,0,0,0
Olho d'Água das Cunhãs,0,0,0,0,0,0,0,0,0,0
Olinda Nova do Maranhão,0,0,0,0,0,0,0,0,0,0
Paço do Lumiar,0,0,0,0,0,0,0,0,0,0
Palmeirândia,20,22,30,33,35,35,50,45,42,45
Paraibano,50,50,45,50,50,50,50,50,45,48
Parnarama,190,190,150,180,210,180,150,150,150,147
Passagem Franca,30,30,30,30,40,40,40,67,72,70
Pastos Bons,110,151,151,151,151,151,151,300,206,211
Paulino Neves,0,0,0,0,0,0,0,29,13,10
Paulo Ramos,0,0,0,0,0,0,0,0,0,0
Pedreiras,29,26,10,13,14,16,15,16,12,8
Pedro do Rosário,0,0,0,0,0,0,0,0,0,0
